变更ID,变更日期,变更类型,变更内容,变更原因,影响范围,提出人,批准人,状态
CHG-001,2026-03-16,范围调整,当前阶段从技术演示链路收口为两个产品主闭环：需求梳理闭环和智能寻源闭环,避免一开始把完整平台能力一次性混入导致范围失控,影响需求池优先级任务看板和版本节奏,产品负责人,项目负责人,已批准
CHG-002,2026-03-16,需求变更,知识库从后台能力上升为用户可见产品模块,现有讨论已确认知识库必须具备首页文件夹上传搜索和对话引用闭环,影响知识库需求定义页面结构和任务拆解,产品负责人,项目负责人,已批准
CHG-003,2026-03-16,需求变更,Project 被确认为用户任务归属容器并承接会话文件知识内容归属,现有产品文档已明确用户与 Project 会话文件知识内容之间的归属关系,影响会员管理信息结构和后端数据模型设计,产品负责人,项目负责人,已批准
CHG-004,2026-03-16,范围调整,会员管理本阶段只保留识别归属使用量和购买入口的最小闭环,避免提前扩展到复杂会员等级支付订单和后台运营,影响 v1.0 范围边界和任务看板优先级,产品负责人,项目负责人,已批准
CHG-005,2026-03-16,范围调整,供应商运营闭环明确不属于当前小采 App 交付范围,该部分属于平台侧后续流程而非当前智能寻源主流程,影响智能寻源范围定义和平台边界控制,项目经理,项目负责人,已批准
CHG-006,2026-03-16,优先级变更,历史会话与收藏能力从当前 v1.0 收口为 v1.1 能力,为保证 MVP 到产品第一版优先交付主闭环和账户底座,影响需求池版本计划和任务排期顺序,产品负责人,项目负责人,已批准
CHG-007,2026-04-04,排期重排,按合同口径重排为15个工作日冲刺计划，统一Day1-Day15执行节奏。,当前任务存在大量To Do和Backlog，需在固定工期内实现P0全覆盖并尽量覆盖P1。,需求池、任务看板、里程碑与验收安排,项目负责人,项目负责人,已批准
CHG-008,2026-04-04,需求拆解,在REQ-001下显式新增需求分析与RFX子任务及验收项。,避免需求分析和RFX隐含在描述中导致验收不可追踪。,REQ-001相关任务拆解与验收口径,项目负责人,项目负责人,已批准
CHG-009,2026-04-04,优先级变更,REQ-006（历史会话与收藏）从Backlog提升为本轮P1执行项并纳入v1.0计划。,15天冲刺目标要求尽量覆盖P0+P1，且该能力影响用户留存与复访。,REQ-006版本计划、任务状态、联调与验收安排,项目负责人,项目负责人,已批准
CHG-010,2026-04-04,看板初始化,任务看板全部状态初始化为To Do，按15个工作日节奏重排，并以“代码+接口+测试”作为Done标准。,原状态与真实开发证据不一致，需建立可证据化进度口径。,task_board、technical_debt、日常状态流转规则,项目负责人,项目负责人,已批准
