一级分类,二级分类,示例
办公设备与耗材,办公电脑,台式机/笔记本/一体机
办公设备与耗材,打印设备,打印机/复印机/扫描仪
办公设备与耗材,办公家具,办公桌/办公椅/文件柜
办公设备与耗材,文具用品,纸张/笔/订书机
办公设备与耗材,IT配件,键盘/鼠标/显示器
办公设备与耗材,网络设备,路由器/交换机/网线
电子元器件,集成电路,芯片/IC
电子元器件,电阻电容,贴片电阻/电解电容
电子元器件,连接器,插座/端子/线束
电子元器件,传感器,温度传感器/压力传感器
电子元器件,显示器件,LED/LCD
电子元器件,电源模块,开关电源/适配器
原材料,金属材料,钢材/铝材/铜材
原材料,塑料材料,ABS/PC/PVC
原材料,化工原料,树脂/溶剂/添加剂
原材料,纺织材料,面料/纤维/辅料
原材料,包装材料,纸箱/塑料袋/缓冲材料
工业设备,机械加工设备,车床/铣床/磨床
工业设备,自动化设备,机器人/自动化生产线
工业设备,检测仪器,测量仪/分析仪/探测器
工业设备,物流设备,叉车/输送带/升降机
工业设备,环保设备,废气处理/污水处理
建筑材料,结构材料,钢筋/水泥/混凝土
建筑材料,装饰材料,瓷砖/涂料/地板
建筑材料,管材管件,水管/电线/管道
建筑材料,五金材料,螺栓/铰链/锁具
劳保用品,头部防护,安全帽/护目镜
劳保用品,身体防护,防护服/工作服/反光衣
劳保用品,手脚防护,手套/安全鞋/护膝
劳保用品,呼吸防护,口罩/防毒面具
服务类采购,专业服务,咨询/审计/法律
服务类采购,技术服务,软件开发/系统集成/维护
服务类采购,培训服务,员工培训/技能认证
服务类采购,物业服务,保洁/保安/绿化
服务类采购,维修服务,设备维修/建筑维修
能源动力,电力,工业用电/照明用电
能源动力,燃料,天然气/煤炭/柴油
能源动力,蒸汽,工业蒸汽
能源动力,压缩空气,压缩空气
运输物流,货物运输,公路运输/铁路运输/航空运输
运输物流,仓储服务,仓库租赁/库存管理
运输物流,配送服务,快递/同城配送
运输物流,物流包装,打包/装卸
